% Model:              Kundt's Tube Simulation.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 9 2026, 15:57
% Dimension:          2
% Nodes:              354
% Expressions:        1
% Description:        Acoustic pressure
% Length unit:        m
% R                       Z                        p (Pa) @ freq=400
0.007992884413767696      0.008368815579753474     -4.034708747250254i
0                         0.011999999999999993     -4.3019455559982855i
0                         0                        -3.4082243512114223i
0.012500000000000011      0                        -3.408231194262841i
0.008641823663975295      0.018611344610465586     -4.780587632433114i
0                         0.023999999999999997     -5.162468329884502i
0.01880445341705867       0.011244987340475108     -4.2466311941633395i
0.025                     0                        -3.4082167050464443i
0.008631951017625402      0.030119926107199043     -5.58639128565736i
0                         0.03599999999999998      -5.983145530061936i
0.018949376950995654      0.023750574139597115     -5.144966188724577i
0.02511858708977026       0.017704435651912293     -4.715571483614962i
0.037500000000000006      0                        -3.408230343342405i
0.03150194880339444       0.011532598177887467     -4.2677264645060555i
0.04209517770050057       0.008360482404226151     -4.034092222800706i
0.05                      0                        -3.4082136517616592i
0.008231642676323639      0.04216026918150376      -6.386895540721171i
0                         0.04799999999999998      -6.7576491358036i
0.015968862814457824      0.03619736871162782      -5.996275961729956i
0.024746311667917305      0.03252639137621244      -5.750060686832445i
0.030919707878653724      0.023738276901687016     -5.14410245806349i
0.0414739396991084        0.018269813843243284     -4.75612497005175i
0.05                      0.01200000000000001      -4.301949259886071i
0.00829535998688118       0.05422884679097662      -7.139472916575991i
0                         0.05999999999999997      -7.480001764197259i
0.016486603345855784      0.04838662428270148      -6.781766757217727i
0.024763470657516388      0.042667458495161244     -6.419563643249481i
0.033104064057674513      0.03589302973709252      -5.9760225290730355i
0.04119536680197333       0.0300336495782451       -5.5804919333315i
0.05                      0.02400000000000002      -5.162469998743644i
0.008361172798897159      0.0662797414004117       -7.835345465380144i
0                         0.07199999999999997      -8.144629996171771i
0.016673314603752865      0.06046355132993266      -7.506782250445826i
0.024977791920411423      0.05456907535135202      -7.159906869182599i
